ID,STATE,COUNTY,RPL_THEMES
45,ALABAMA,Autauga,0.4354
46,ALABAMA,Blount,0.4242
47,ALABAMA,Butler,0.8653
48,ALABAMA,Coffee,0.5408
50,ALABAMA,Calhoun,0.8252
51,ALABAMA,Chambers,0.7382
52,ALABAMA,Colbert,0.4274
54,ALABAMA,Covington,0.7723
57,ALABAMA,Cullman,0.5182
58,ALABAMA,Dale,0.7599
59,ALABAMA,Limestone,0.5296
60,ALABAMA,Elmore,0.5401
61,ALABAMA,Etowah,0.6564
62,ALABAMA,Madison,0.3076
64,ALABAMA,Henry,0.5519
65,ALABAMA,Morgan,0.6895
66,ALABAMA,Houston,0.6838
67,ALABAMA,Randolph,0.7191
69,ALABAMA,Jackson,0.5726
70,ALABAMA,Lauderdale,0.4468
75,ALABAMA,Lawrence,0.4952
77,ALABAMA,Marshall,0.7261
78,ALABAMA,Mobile,0.7532
80,ALABAMA,Russell,0.9115
81,ALABAMA,St. Clair,0.3656
83,ALABAMA,Shelby,0.1169
84,ALABAMA,Talladega,0.8736
1257,ALABAMA,Geneva,0.7955
1259,ALABAMA,Jefferson,0.6621
1292,ALABAMA,Lamar,0.6264
1450,ALABAMA,Baldwin,0.2162
1451,ALABAMA,Tallapoosa,0.8863
1452,ALABAMA,Cherokee,0.4516
1453,ALABAMA,Lee,0.6602
1454,ALABAMA,Chilton,0.7602
1455,ALABAMA,Clay,0.564
1460,ALABAMA,Crenshaw,0.6873
1461,ALABAMA,Marion,0.671
1462,ALABAMA,DeKalb,0.8022
1463,ALABAMA,Fayette,0.7038
1464,ALABAMA,Pike,0.9016
1467,ALABAMA,Tuscaloosa,0.6255
2224,ALABAMA,Bibb,0.6003
2260,ALABAMA,Coosa,0.5261
2262,ALABAMA,Escambia,0.8557
2263,ALABAMA,Montgomery,0.8427
2266,ALABAMA,Pickens,0.9207
2268,ALABAMA,Walker,0.7452
2270,ALABAMA,Washington,0.7303
2594,ALABAMA,Cleburne,0.5417
2597,ALABAMA,Franklin,0.8417
2601,ALABAMA,Winston,0.7025
2603,ALABAMA,Clarke,0.8471
2834,ALABAMA,Choctaw,0.8748
2837,ALABAMA,Conecuh,0.8086
2838,ALABAMA,Marengo,0.7621
2839,ALABAMA,Monroe,0.7481
2983,ALABAMA,Hale,0.9599
3087,ALABAMA,Dallas,0.949
3094,ALABAMA,Macon,0.8971
3097,ALABAMA,Sumter,0.9557
3150,ALABAMA,Bullock,0.8898
3152,ALABAMA,Wilcox,0.928
3188,ALABAMA,Barbour,0.9959
3190,ALABAMA,Greene,0.9854
3206,ALABAMA,Perry,0.9949
3236,ALABAMA,Lowndes,0.9188
71,ALASKA,Valdez-Cordova,0.2704
235,ALASKA,Kodiak Island,0.7006
1341,ALASKA,Skagway,0.1685
1344,ALASKA,Wrangell City and Borough,0.5618
1432,ALASKA,Yukon-Koyukuk,0.8812
1456,ALASKA,Kenai Peninsula,0.4073
1458,ALASKA,Petersburg,0.665
1465,ALASKA,Sitka City and Borough,0.4022
1468,ALASKA,Denali,0.101
1469,ALASKA,Fairbanks North Star,0.3446
1471,ALASKA,Juneau City and Borough,0.2987
2228,ALASKA,Ketchikan Gateway,0.5548
2272,ALASKA,Anchorage,0.4602
2273,ALASKA,Haines,0.207
2591,ALASKA,Bristol Bay,0.3525
2598,ALASKA,Hoonah-Angoon,0.4178
2604,ALASKA,Matanuska-Susitna,0.3172
2605,ALASKA,Prince of Wales-Hyder,0.7662
2607,ALASKA,Southeast Fairbanks,0.5838
2840,ALASKA,Yakutat City and Borough,0.5873
2910,ALASKA,North Slope,0.7344
2984,ALASKA,Aleutians East,0.5803
3083,ALASKA,Aleutians West,0.4927
3088,ALASKA,Dillingham,0.8682
3090,ALASKA,Lake and Peninsula,0.7978
3092,ALASKA,Nome,0.9299
3153,ALASKA,Northwest Arctic,0.9354
3207,ALASKA,Bethel,0.9748
3237,ALASKA,Kusilvak,0.9334
73,ARIZONA,Pinal,0.8592
241,ARIZONA,Maricopa,0.6354
247,ARIZONA,Mohave,0.8624
1473,ARIZONA,Cochise,0.9064
1474,ARIZONA,Pima,0.8828
1475,ARIZONA,Yavapai,0.521
2241,ARIZONA,Coconino,0.7131
2261,ARIZONA,Greenlee,0.6188
2609,ARIZONA,Gila,0.899
2914,ARIZONA,Graham,0.964
2915,ARIZONA,La Paz,0.9236
3098,ARIZONA,Navajo,0.9955
3099,ARIZONA,Santa Cruz,0.9318
3100,ARIZONA,Yuma,0.9895
3209,ARIZONA,Apache,0.9885
76,ARKANSAS,Boone,0.4379
79,ARKANSAS,Bradley,0.9803
85,ARKANSAS,Crawford,0.6105
86,ARKANSAS,Cross,0.7013
88,ARKANSAS,Faulkner,0.4774
90,ARKANSAS,Franklin,0.5943
91,ARKANSAS,Garland,0.828
93,ARKANSAS,Grant,0.3541
94,ARKANSAS,Madison,0.6535
95,ARKANSAS,Independence,0.7525
99,ARKANSAS,Logan,0.8045
105,ARKANSAS,Lonoke,0.3309
106,ARKANSAS,Pope,0.7936
112,ARKANSAS,Prairie,0.6548
113,ARKANSAS,Randolph,0.7166
115,ARKANSAS,Saline,0.3325
118,ARKANSAS,Sebastian,0.8328
119,ARKANSAS,White,0.7446
391,ARKANSAS,Dallas,0.8777
398,ARKANSAS,Desha,0.9596
1476,ARKANSAS,Ashley,0.8576
1477,ARKANSAS,Baxter,0.2793
1478,ARKANSAS,Cleburne,0.2083
1479,ARKANSAS,Benton,0.2707
1482,ARKANSAS,Carroll,0.5952
1483,ARKANSAS,Clark,0.7892
1487,ARKANSAS,Cleveland,0.5643
1490,ARKANSAS,Conway,0.7589
1492,ARKANSAS,Craighead,0.8041
1493,ARKANSAS,Drew,0.801
1494,ARKANSAS,Greene,0.5834
1496,ARKANSAS,Hot Spring,0.8188
1497,ARKANSAS,Howard,0.9045
1500,ARKANSAS,Johnson,0.8768
