county,country,value
Yakima,Socioeconomic,0.8439
Yakima,Household Composition & Disability,0.7342
Yakima,Minority Status & Language,0.9704
Yakima,Housing Type & Transportation,0.7915
Yakima,SVI Averages,0.9277
Lewis,Socioeconomic,0.6242
Lewis,Household Composition & Disability,0.7606
Lewis,Minority Status & Language,0.6657
Lewis,Housing Type & Transportation,0.8255
Lewis,SVI Averages,0.7889
Asotin,Socioeconomic,0.4548
Asotin,Household Composition & Disability,0.8418
Asotin,Minority Status & Language,0.256
Asotin,Housing Type & Transportation,0.3142
Asotin,SVI Averages,0.4248
Skamania,Socioeconomic,0.285
Skamania,Household Composition & Disability,0.1114
Skamania,Minority Status & Language,0.3715
Skamania,Housing Type & Transportation,0.4069
Skamania,SVI Averages,0.2194
Stevens,Socioeconomic,0.5497
Stevens,Household Composition & Disability,0.6418
Stevens,Minority Status & Language,0.3534
Stevens,Housing Type & Transportation,0.3168
Stevens,SVI Averages,0.4615
Clark,Socioeconomic,0.1774
Clark,Household Composition & Disability,0.2206
Clark,Minority Status & Language,0.7482
Clark,Housing Type & Transportation,0.3658
Clark,SVI Averages,0.2857
Thurston,Socioeconomic,0.2529
Thurston,Household Composition & Disability,0.2041
Thurston,Minority Status & Language,0.6925
Thurston,Housing Type & Transportation,0.4518
Thurston,SVI Averages,0.3299
Cowlitz,Socioeconomic,0.5968
Cowlitz,Household Composition & Disability,0.9252
Cowlitz,Minority Status & Language,0.5893
Cowlitz,Housing Type & Transportation,0.7555
Cowlitz,SVI Averages,0.7885
Garfield,Socioeconomic,0.3949
Garfield,Household Composition & Disability,0.7472
Garfield,Minority Status & Language,0.2334
Garfield,Housing Type & Transportation,0.0201
Garfield,SVI Averages,0.1834
Grays Harbor,Socioeconomic,0.6465
Grays Harbor,Household Composition & Disability,0.8141
Grays Harbor,Minority Status & Language,0.709
Grays Harbor,Housing Type & Transportation,0.8972
Grays Harbor,SVI Averages,0.8392
Island,Socioeconomic,0.1465
Island,Household Composition & Disability,0.2311
Island,Minority Status & Language,0.5285
Island,Housing Type & Transportation,0.2442
Island,SVI Averages,0.1857
Kitsap,Socioeconomic,0.1245
